claim_id,community_number,date_of_loss,cause_of_damage,occupancy_type,amount_paid_building,amount_paid_contents,building_damage_amount,net_building_payment,zip_code
2724034,450257,2023-08-31,0,11,0.0,0.0,0.0,0.0,29455
2724092,450110,2020-08-03,1,11,2107.88,0.0,3108.0,2107.88,29582
2724177,450170,2024-09-28,0,11,,,,0.0,29206
2724214,455417,1989-09-22,1,1,1336.0,0.0,1836.0,1336.0,29464
2724278,450257,2017-09-10,2,1,851.29,0.0,2101.0,851.29,29455
2724342,450110,1987-01-01,2,1,,,,0.0,29582
2724422,455412,2015-10-04,2,11,7830.6,0.0,8997.0,7830.6,29407
2724457,455412,1989-09-21,1,4,12909.4,36887.0,13409.0,12909.4,29401
2724469,450085,1979-09-04,1,1,941.37,0.0,1142.0,941.37,
2724515,450029,2016-10-08,2,11,7447.1,0.0,8837.0,7447.1,29492
2724526,450109,1989-09-22,1,4,125154.7,37500.0,125550.0,125154.7,29577
2724537,455415,1987-01-01,1,1,,,,0.0,29439
2724662,450042,1989-09-21,1,2,,,,0.0,29418
2724678,450251,2026-07-14,,18,,,,0.0,29910
2724821,450110,1999-09-15,1,1,,,,0.0,29582
2724866,455413,2017-09-10,2,11,3489.3,643.21,4740.0,3489.3,29414
2724883,450104,1989-09-22,1,1,0.0,490.25,,0.0,29576
2724907,450146,2018-09-16,2,1,10081.94,0.0,11082.0,10081.94,29512
2724927,450104,2015-10-02,4,1,3260.71,0.0,5221.0,3260.71,29576
2724930,450163,2015-10-04,4,1,,,169.0,0.0,29059
2725018,450110,2016-10-08,0,11,2980.13,0.0,5980.0,2980.13,29582
2725306,450025,2017-09-11,1,11,14851.55,3953.5,16852.0,14851.55,29906
2725377,455413,1989-09-22,1,1,,,,0.0,29407
2725416,450129,2015-10-04,1,1,23423.15,6753.78,22667.0,23423.15,29212
2725549,450025,2009-09-21,0,1,,,,0.0,29910
2725562,455416,1989-09-21,1,2,63008.68,10000.0,63508.0,63008.68,29451
2725612,450025,2016-10-14,4,1,,,,0.0,29920
2725650,455413,2015-10-01,4,1,,,,0.0,29464
