community_number,community_name,state
370037,Unnamed Community 370037,SC
375354,Unnamed Community 375354,SC
450001,"ABBEVILLE, CITY OF",SC
450002,AIKEN COUNTY*,SC
450007,"NORTH AUGUSTA, CITY OF",SC
450013,ANDERSON COUNTY *,SC
450014,"ANDERSON, CITY OF",SC
450025,BEAUFORT COUNTY*,SC
450026,"BEAUFORT, CITY OF",SC
450028,"PORT ROYAL, TOWN OF",SC
450029,BERKELEY COUNTY *,SC
450030,"HANAHAN, CITY OF",SC
450031,"MONCKS CORNER, TOWN OF",SC
450037,"HOLLYWOOD, TOWN OF",SC
450039,"MCCLELLANVILLE, TOWN OF",SC
450040,"MEGGETT, TOWN OF",SC
450042,"NORTH CHARLESTON, CITY OF",SC
450043,"RAVENEL, TOWN OF",SC
450047,CHESTER COUNTY *,SC
450050,Unnamed Community 450050,SC
450051,CLARENDON COUNTY *,SC
450052,Unnamed Community 450052,SC
450054,"SUMMERTON, TOWN OF",SC
450056,COLLETON COUNTY*,SC
450058,"WALTERBORO,CITY OF",SC
450060,DARLINGTON COUNTY *,SC
450061,Unnamed Community 450061,SC
450062,"HARTSVILLE, CITY OF",SC
450064,DILLON COUNTY*,SC
450065,"DILLON, CITY OF",SC
450066,Unnamed Community 450066,SC
450067,"LATTA, TOWN OF",SC
450068,DORCHESTER COUNTY *,SC
450073,"SUMMERVILLE, TOWN OF",SC
450075,FAIRFIELD COUNTY *,SC
450076,FLORENCE COUNTY *,SC
450078,"FLORENCE, CITY OF",SC
450079,"LAKE CITY, CITY OF",SC
450083,"SCRANTON, TOWN OF",SC
450085,GEORGETOWN COUNTY *,SC
450087,"GEORGETOWN, CITY OF",SC
450088,Unnamed Community 450088,SC
450089,GREENVILLE COUNTY *,SC
450091,"GREENVILLE, CITY OF",SC
450092,"SIMPSONVILLE, CITY OF",SC
450093,"GREENWOOD, CITY OF",SC
450094,GREENWOOD COUNTY*,SC
450095,HAMPTON COUNTY*,SC
450100,"HAMPTON, TOWN OF",SC
450102,"VARNVILLE, TOWN OF",SC
450104,HORRY COUNTY *,SC
450106,"CONWAY, CITY OF",SC
450107,Unnamed Community 450107,SC
450108,"LORIS, CITY OF",SC
450109,"MYRTLE BEACH, CITY OF",SC
450110,"NORTH MYRTLE BEACH, CITY OF",SC
450111,"SURFSIDE BEACH, TOWN OF",SC
450112,JASPER COUNTY*,SC
450113,"HARDEEVILLE, CITY OF",SC
450114,"RIDGELAND, TOWN OF",SC
450115,KERSHAW COUNTY *,SC
450117,"CAMDEN, CITY OF",SC
450120,LANCASTER COUNTY *,SC
450121,"LANCASTER, CITY OF",SC
450122,LAURENS COUNTY *,SC
450129,LEXINGTON COUNTY *,SC
450131,"CAYCE, CITY OF",SC
450133,"IRMO, TOWN OF",SC
450134,"LEXINGTON, TOWN OF",SC
450138,Unnamed Community 450138,SC
450140,"WEST COLUMBIA, CITY OF",SC
450141,MARION COUNTY*,SC
450142,"MARION,CITY OF",SC
450144,"NICHOLS,TOWN OF",SC
450145,"SELLERS, TOWN OF",SC
450146,MARLBORO COUNTY*,SC
450147,Unnamed Community 450147,SC
450153,Unnamed Community 450153,SC
450157,OCONEE COUNTY *,SC
450160,ORANGEBURG COUNTY *,SC
450163,"HOLLY HILL, TOWN OF",SC
450164,"ORANGEBURG, CITY OF",SC
450166,Unnamed Community 450166,SC
450169,"PICKENS, CITY OF",SC
450170,RICHLAND COUNTY*,SC
450171,"ARCADIA LAKES, TOWN OF",SC
450172,"COLUMBIA, CITY OF",SC
450174,"FOREST ACRES, CITY OF",SC
450176,SPARTANBURG COUNTY *,SC
450177,"DUNCAN, TOWN OF",SC
450181,"SPARTANBURG, CITY OF",SC
450182,SUMTER COUNTY *,SC
450184,"SUMTER, CITY OF",SC
450186,"UNION, CITY OF",SC
450187,WILLIAMSBURG COUNTY *,SC
450190,"KINGSTREE, TOWN OF",SC
450193,YORK COUNTY *,SC
450195,"FORT MILL, TOWN OF",SC
450196,"ROCK HILL, CITY OF",SC
450197,Unnamed Community 450197,SC
450198,"MAULDIN, CITY OF",SC
450200,"GREER, CITY OF",SC
450203,BAMBERG COUNTY*,SC
450204,BARNWELL COUNTY *,SC
450206,"GOOSE CREEK, CITY OF",SC
450219,"LYMAN, TOWN OF",SC
450224,NEWBERRY COUNTY*,SC
450226,MCCORMICK COUNTY *,SC
450227,ABBEVILLE COUNTY *,SC
450230,SALUDA COUNTY*,SC
450232,"BRIARCLIFFE ACRES, TOWN OF",SC
450236,Unnamed Community 450236,SC
450238,"CLEMSON, CITY OF",SC
450249,"ROCKVILLE, TOWN OF ",SC
450250,"HILTON HEAD ISLAND, TOWN OF",SC
450251,"BLUFFTON, TOWN OF",SC
450253,Unnamed Community 450253,SC
450254,CALHOUN COUNTY*,SC
450255,"PAWLEYS ISLAND, TOWN OF",SC
450256,"SEABROOK ISLAND, TOWN OF",SC
450257,"KIAWAH ISLAND, TOWN OF",SC
450259,"BAMBERG, CITY OF",SC
450262,"AWENDAW, TOWN OF",SC
450263,"JAMES ISLAND, TOWN OF",SC
455412,"CHARLESTON, CITY OF",SC
455413,CHARLESTON COUNTY*,SC
455414,"EDISTO BEACH,TOWN OF",SC
455415,"FOLLY BEACH, CITY OF",SC
455416,"ISLE OF PALMS, CITY OF",SC
455417,"MOUNT PLEASANT, TOWN OF",SC
455418,"SULLIVANS ISLAND, TOWN OF",SC
