policy_id,community_number,policy_effective_date,policy_termination_date,policy_cost,total_building_coverage,total_contents_coverage,rated_flood_zone,occupancy_type,zip_code
104123658,450129,2015-11-17,2016-11-17,1843,117700,0,AE,1,29212
104123709,450025,2015-08-18,2016-08-18,747,250000,100000,AE,1,29920
104123800,450025,2015-06-28,2016-06-28,655,250000,100000,X,1,29907
104123865,450104,2015-02-08,2016-02-08,414,250000,100000,X,1,29575
104123896,450146,2015-06-23,2016-06-23,258,50000,20000,X,1,29512
104123922,450007,2015-05-15,2016-05-15,496,250000,100000,AE,1,29841
104123949,455412,2015-09-18,2016-09-18,765,250000,100000,AE,1,29414
104123973,450182,2015-07-05,2016-07-05,3589,467100,0,AE,6,29153
104124043,450250,2015-05-20,2016-05-20,1821,1500000,0,AE,3,29928
104124085,455412,2015-05-08,2016-05-08,491,250000,100000,AE,1,29492
104124136,455412,2015-12-30,2016-12-30,1723,250000,60000,AE,1,29412
104124200,455417,2015-03-26,2016-03-26,567,250000,100000,AE,1,29466
104124250,455417,2015-06-07,2016-06-07,333,100000,40000,X,1,29464
104124382,455413,2015-05-30,2016-05-30,723,250000,81500,A12,1,29438
104124403,450085,2015-06-17,2016-06-17,430,250000,100000,X,1,29576
104124423,450257,2015-10-05,2016-10-05,732,250000,100000,AE,1,29455
104124431,450068,2015-12-15,2016-12-15,559,127200,0,AE,1,29420
104124462,450250,2015-07-15,2016-07-15,2948,4272400,0,A16,3,29926
104124480,455413,2015-08-06,2016-08-06,421,250000,61300,A14,1,29466
104124502,450104,2015-10-15,2016-10-15,430,250000,100000,X,1,29579
104124509,450030,2015-07-24,2016-07-24,788,250000,5000,AE,3,29410
104124517,450250,2015-04-19,2016-04-19,3284,250000,29600,AE,1,29928
104124529,455412,2015-08-13,2016-08-13,968,250000,57900,AE,1,29412
104124539,450025,2015-06-13,2016-06-13,430,250000,100000,X,1,29910
104124545,450250,2015-09-01,2016-09-01,516,250000,100000,AE,1,29928
104124552,450250,2015-03-31,2016-03-31,1846,1244300,0,X,3,29928
104124587,455417,2015-02-07,2016-02-07,297,250000,0,AE,1,29466
104124600,455416,2015-07-17,2016-07-17,1038,250000,38600,AE,1,29451
