facility_id,facility_name,city,state,zip_code
ef58ea08-d883-3957-8300-150554edc8fb,HEALTHALLIANCE HOSPITALS  INC,LEOMINSTER,MA,01453
69176529-fd1f-3b3f-abce-a0a3626769eb,MOUNT AUBURN HOSPITAL,CAMBRIDGE,MA,02138
5e765f2b-e908-3888-9fc7-df2cb87beb58,STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,02703
f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,LAWRENCE GENERAL HOSPITAL,LAWRENCE,MA,01842
e002090d-4e92-300e-b41e-7d1f21dee4c6,CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MA,02138
ef6ab57c-ed94-3dbe-9861-812d515918b3,CAPE COD HOSPITAL,HYANNIS,MA,02601
49318f80-bd8b-3fc7-a096-ac43088b0c12,COOLEY DICKINSON HOSPITAL INC THE,NORTHAMPTON,MA,01060
fbf6180e-b800-3ebe-b91d-93d0288c400e,BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,MA,01301
ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL,FALL RIVER,MA,02721
5d4b9df1-93ae-3bc9-b680-03249990e558,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,01040
37b4d73f-652d-3033-a16e-d97b9e8b4cda,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,01950
37c0de84-bcaf-3624-82bf-a89b2ac441b8,BEVERLY HOSPITAL CORPORATION,BEVERLY,MA,01915
4861d01f-019c-3dac-a153-8334e50919f9,NORTH SHORE MEDICAL CENTER -,SALEM,MA,01970
f71ce1a9-cca7-3295-9a1e-c88ac3479b6f,MARLBOROUGH HOSPITAL,MARLBOROUGH,MA,01752
c44f361c-2efb-3050-8f97-0354a12e2920,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,BROCKTON,MA,02302
b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,PLYMOUTH,MA,02360
b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL,LOWELL,MA,01854
ebc3f5c4-6700-34af-8323-85621c313726,NOBLE HOSPITAL,WESTFIELD,MA,01085
d692e283-0833-3201-8e55-4f868a9c0736,HALLMARK HEALTH SYSTEM,MELROSE,MA,02176
8ad64ecf-c817-3753-bee7-006a8e662e06,MORTON HOSPITAL,TAUNTON,MA,02780
23834663-ed53-3da9-b330-d6e1ecb8428e,SOUTHCOAST HOSPITAL GROUP  INC,FALL RIVER,MA,02720
7fb56531-86bd-3e4a-8619-4df9942da309,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,02494
03347b4d-994e-302b-848b-58019a4e274d,EMERSON HOSPITAL -,W CONCORD,MA,01742
24cb4eab-6166-3530-bddc-a5a8a14a4fc1,MILFORD REGIONAL MEDICAL CENTER,MILFORD,MA,01757
db0acede-4abe-3c01-8d03-5c68a190d8c7,SOUTH SHORE HOSPITAL,SOUTH WEYMOUTH,MA,02190
3d10019f-c88e-3de5-9916-6107b9c0263d,NEWTON-WELLESLEY HOSPITAL,NEWTON,MA,02462
f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL,WINCHESTER,MA,01890
12c9daf5-a29c-36c9-ac55-28972463e566,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,MILTON,MA,02186
226098a2-6a40-3588-b5bb-db56c3a30a04,GOOD SAMARITAN MEDICAL CENTER,BROCKTON,MA,02301
3bd5eda0-16da-3ba5-8500-4dfd6ae118b8,NORWOOD HOSPITAL,NORWOOD,MA,02062
d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL,FALMOUTH,MA,02540
f99c74cc-7d1a-3f95-9a33-4a9357bf2f2a,UMASS MEMORIAL MEDICAL CENTER INC,WORCESTER,MA,01655
6f122869-a856-3d65-8db9-099bf4f5bbb8,LAHEY HOSPITAL & MEDICAL CENTER  BURLINGTON,BURLINGTON,MA,01803
465de31f-3098-365c-af70-48a071e1f5aa,METROWEST MEDICAL CENTER,FRAMINGHAM,MA,01701
be4c63f3-8d38-3fa9-a183-62045b5c85f6,VA Boston Healthcare System  Jamaica Plain Campus,Jamaica Plain,MA,02130
c1c0c43e-ca87-3ee5-9549-be3f28afde81,Greenfield Outpatient Clinic,Greenfield,MA,01301
0b78995f-8b45-34d3-969d-afcc456bb1c7,New Bedford Outpatient Clinic,New Bedford,MA,02740
37eb7694-de8f-3407-b95f-1a6a31fb0f6a,Springfield Outpatient Clinic,Springfield,MA,01104
d311e70d-86e7-3c03-b115-53892bcf7ef1,Worcester Outpatient Clinic,Worcester,MA,01605
f7a6cc79-3075-3124-9f62-6fe562440b1d,HAWTHORN MEDICAL URGENT CARE CENTER,NORTH DARTMOUTH,MA,2747
