engagement_id,client_id,service_type,partner_assigned,hourly_rate,start_date,end_date
1,38,Risk Assessment,Partner D,199.78,2023-08-08,
2,37,IT Advisory,Partner C,225.41,2023-12-01,2024-02-28
3,12,Management Consulting,Partner B,345.47,2023-11-24,2024-05-11
4,34,Risk Assessment,Partner G,238.61,2023-08-24,2024-01-14
5,32,Audit,Partner E,137.29,2024-03-03,2024-10-26
6,24,Risk Assessment,Partner B,216.04,2023-10-10,2023-12-30
7,46,Risk Assessment,Partner F,217.5,2023-02-09,
8,41,Management Consulting,Partner D,251.97,2024-01-18,2024-09-18
9,32,IT Advisory,Partner A,172.39,2023-10-15,2023-12-17
10,44,Management Consulting,Partner D,206.14,2023-11-14,
11,46,Tax Advisory,Partner B,202.19,2023-10-10,2024-03-05
12,35,IT Advisory,Partner B,208.97,2023-10-04,
13,17,Tax Advisory,Partner H,218.84,2023-02-15,2023-05-17
14,46,Tax Advisory,Partner F,177.2,2023-10-07,
15,44,Management Consulting,Partner B,346.69,2024-02-02,2024-10-11
16,60,Risk Assessment,Partner G,187.04,2023-06-01,2024-02-14
17,9,Tax Advisory,Partner E,203.49,2023-10-29,2023-12-24
18,26,Management Consulting,Partner G,212.72,2023-01-16,2023-09-07
19,56,Audit,Partner F,153.33,2023-06-23,2023-08-03
20,31,Audit,Partner C,168.12,2023-08-07,2024-02-22
21,57,Audit,Partner E,175.48,2024-05-06,2024-12-14
22,1,Audit,Partner E,169.35,2023-04-18,2023-12-07
23,3,Risk Assessment,Partner F,153.33,2023-05-19,2023-07-31
24,48,Risk Assessment,Partner B,183.54,2023-07-24,2024-03-14
25,22,Risk Assessment,Partner C,154.38,2024-05-11,2024-06-27
26,32,Audit,Partner B,126.56,2024-03-02,2024-07-24
27,26,Audit,Partner C,160.52,2023-01-18,2023-05-30
28,25,Tax Advisory,Partner B,197.06,2023-04-27,2023-07-31
29,57,Management Consulting,Partner A,316.06,2024-02-15,2024-03-11
30,6,Tax Advisory,Partner H,209.24,2023-01-30,2023-08-23
31,47,Management Consulting,Partner A,310.91,2024-03-03,2024-06-11
32,54,Audit,Partner H,168.05,2023-05-21,2023-11-15
33,40,IT Advisory,Partner A,164.9,2024-04-03,2024-07-30
34,24,Tax Advisory,Partner G,158.76,2023-05-27,2023-09-13
35,10,Audit,Partner C,157.31,2023-08-06,2024-03-25
36,41,IT Advisory,Partner E,245.81,2023-11-27,2024-01-08
37,29,Risk Assessment,Partner C,150.41,2023-03-05,2023-09-17
38,9,Audit,Partner D,150.88,2023-10-06,2024-04-22
39,22,Management Consulting,Partner D,301.59,2023-09-10,2023-12-30
40,58,Risk Assessment,Partner E,152.66,2024-01-27,2024-04-18
41,16,IT Advisory,Partner D,200.14,2024-05-13,2024-06-03
42,11,Risk Assessment,Partner E,230.61,2023-11-29,2024-07-30
43,41,Management Consulting,Partner G,300.74,2023-07-24,2024-03-27
44,12,Tax Advisory,Partner D,159.01,2023-07-23,2023-10-08
45,56,IT Advisory,Partner C,245.28,2023-07-28,2023-08-24
46,52,Audit,Partner B,140.88,2024-02-12,2024-04-01
47,60,Tax Advisory,Partner C,208.27,2023-06-10,2023-07-16
48,55,IT Advisory,Partner B,189.89,2023-03-25,2023-10-30
49,15,IT Advisory,Partner B,219.03,2023-06-17,2024-02-06
50,13,Audit,Partner H,143.82,2023-01-12,2023-03-09
51,21,Management Consulting,Partner A,241.22,2023-02-23,2023-09-10
52,29,Tax Advisory,Partner D,210.92,2023-02-15,2023-04-19
53,53,Management Consulting,Partner G,228.14,2024-01-21,2024-05-08
54,45,Risk Assessment,Partner H,157.63,2023-12-28,2024-06-08
55,39,Audit,Partner B,140.52,2023-12-15,2024-06-24
56,53,Risk Assessment,Partner B,214.59,2023-08-19,2024-04-04
57,39,Management Consulting,Partner C,321.11,2023-12-25,
58,23,IT Advisory,Partner E,259.87,2023-03-22,2023-05-28
59,25,Management Consulting,Partner H,244.45,2024-03-26,
60,32,Tax Advisory,Partner B,172.64,2023-09-08,2023-12-11
61,6,IT Advisory,Partner B,173.68,2024-04-14,2024-12-29
62,45,IT Advisory,Partner C,217.49,2023-03-18,2023-10-10
63,40,Audit,Partner G,179.85,2023-09-06,2023-12-11
64,44,IT Advisory,Partner A,230.09,2023-12-15,2024-08-24
65,33,IT Advisory,Partner D,219.52,2023-09-05,2024-01-22
66,47,Tax Advisory,Partner A,171.39,2023-08-12,2023-12-30
67,57,Risk Assessment,Partner B,232.38,2023-03-25,2023-07-27
68,35,IT Advisory,Partner H,209.69,2023-07-10,2023-09-02
69,27,Tax Advisory,Partner A,150.75,2023-04-30,2023-12-30
70,7,Audit,Partner C,141.92,2023-05-31,
71,47,IT Advisory,Partner H,166.72,2023-12-08,2024-02-07
72,55,Tax Advisory,Partner E,156.16,2023-11-12,2024-01-26
73,42,IT Advisory,Partner A,161.77,2023-10-31,2024-01-26
74,52,Management Consulting,Partner D,267.99,2023-06-30,2023-08-20
75,52,Management Consulting,Partner H,295.18,2024-04-24,2024-05-18
76,48,Audit,Partner D,140.6,2023-02-13,2023-08-14
77,31,IT Advisory,Partner E,202.04,2023-06-21,2024-02-28
78,6,Audit,Partner E,177.55,2023-03-01,2023-04-19
79,1,Management Consulting,Partner F,312.79,2023-06-19,2023-09-18
80,13,Risk Assessment,Partner B,198.68,2024-04-25,2024-09-13
81,26,Risk Assessment,Partner G,175.61,2023-07-03,2024-03-01
82,45,Risk Assessment,Partner H,230.73,2024-03-30,
83,28,Risk Assessment,Partner B,171.16,2023-09-05,
84,2,Management Consulting,Partner G,248.8,2023-12-16,
85,13,Tax Advisory,Partner G,212.73,2023-08-17,2023-12-15
86,59,Risk Assessment,Partner F,197.66,2023-05-13,2023-07-19
87,60,Risk Assessment,Partner C,216.81,2024-01-18,2024-09-01
88,23,Risk Assessment,Partner D,203.17,2024-04-29,2024-11-27
89,49,IT Advisory,Partner G,225.34,2023-05-12,2023-06-07
90,44,Audit,Partner B,137.96,2024-01-25,2024-08-03
91,56,Management Consulting,Partner G,236.21,2023-05-11,2023-06-20
92,54,Management Consulting,Partner H,248.37,2023-12-25,2024-07-09
93,38,Risk Assessment,Partner F,163.99,2024-01-30,2024-09-04
94,24,Tax Advisory,Partner C,209.95,2023-08-13,2023-10-03
95,38,Tax Advisory,Partner E,162.66,2024-01-04,2024-05-07
96,20,Audit,Partner A,153.69,2023-05-17,2023-07-05
97,21,Risk Assessment,Partner H,221.28,2023-02-09,2023-07-15
98,37,IT Advisory,Partner C,238.38,2023-02-18,2023-10-18
99,35,Audit,Partner A,146.3,2023-08-12,2023-09-20
100,35,Management Consulting,Partner G,271.44,2024-03-27,2024-07-20
101,24,Management Consulting,Partner F,349.21,2023-03-05,2023-11-13
102,25,Management Consulting,Partner E,301.19,2023-08-16,2023-11-16
103,1,Risk Assessment,Partner A,223.32,2023-12-19,2024-02-08
104,37,Audit,Partner G,174.15,2023-04-12,2023-08-27
105,35,Tax Advisory,Partner F,203.01,2023-12-27,2024-05-17
106,57,Audit,Partner G,131.11,2023-06-02,2023-11-28
107,31,Tax Advisory,Partner G,184.97,2024-02-09,2024-05-14
108,29,Risk Assessment,Partner B,159.17,2023-10-17,2024-06-22
109,5,Risk Assessment,Partner B,208.76,2023-10-01,
110,12,Audit,Partner H,177.32,2023-03-30,2023-06-26
111,21,IT Advisory,Partner E,211.27,2023-08-20,2024-04-26
112,23,Tax Advisory,Partner D,174.64,2024-03-04,2024-10-31
113,22,Audit,Partner C,122.15,2023-01-10,2023-05-29
114,24,Tax Advisory,Partner F,216.78,2024-01-15,2024-02-09
115,47,Audit,Partner G,126.18,2023-09-04,
116,8,Management Consulting,Partner A,206.16,2023-12-26,2024-05-27
117,20,Risk Assessment,Partner E,172.15,2023-11-28,2024-01-22
118,10,Management Consulting,Partner H,209.83,2023-08-05,2024-01-24
119,19,IT Advisory,Partner C,205.51,2023-06-04,2024-01-11
120,42,Management Consulting,Partner C,277.41,2023-11-10,2023-12-25
121,3,Audit,Partner H,138.75,2023-03-12,2023-09-21
122,21,Audit,Partner A,123.06,2023-10-20,2023-12-12
123,2,Tax Advisory,Partner D,148.93,2023-02-17,2023-09-04
124,58,Tax Advisory,Partner D,170.76,2023-11-21,
125,44,Risk Assessment,Partner G,155.45,2023-11-11,2023-12-02
126,15,Risk Assessment,Partner B,212.84,2023-02-12,2023-10-21
127,12,Risk Assessment,Partner D,168.63,2024-01-14,2024-03-13
128,6,IT Advisory,Partner B,190.21,2023-07-27,2024-01-06
129,29,Management Consulting,Partner G,259.12,2024-01-29,
130,46,IT Advisory,Partner F,201.66,2023-01-21,2023-09-21
131,36,Management Consulting,Partner D,200.25,2023-03-31,2023-10-14
132,53,IT Advisory,Partner D,171.21,2023-09-04,2024-04-04
133,21,IT Advisory,Partner B,246.28,2023-04-05,
134,17,IT Advisory,Partner H,160.12,2023-06-14,2023-10-24
135,29,IT Advisory,Partner F,210.82,2023-11-27,
136,13,Audit,Partner C,149.37,2023-03-14,2023-10-08
137,59,IT Advisory,Partner D,193.31,2023-12-05,2024-07-15
138,12,Tax Advisory,Partner F,174.51,2023-02-21,2023-03-17
139,29,IT Advisory,Partner F,238.06,2023-03-29,2023-09-24
140,32,Management Consulting,Partner D,326.18,2023-10-21,2023-12-06
141,4,Risk Assessment,Partner C,173.43,2024-02-01,2024-04-30
142,29,Tax Advisory,Partner F,165.8,2023-03-27,
143,28,Risk Assessment,Partner F,171.82,2023-05-30,
144,16,Risk Assessment,Partner E,193.19,2024-04-07,
145,8,Tax Advisory,Partner A,194.66,2024-05-09,2024-09-17
146,3,Management Consulting,Partner D,234.24,2023-10-18,2024-01-01
147,1,Management Consulting,Partner E,249.61,2023-08-12,2023-11-20
148,29,IT Advisory,Partner H,253.04,2023-06-23,2023-11-17
149,6,IT Advisory,Partner E,164.86,2023-11-03,
150,58,Risk Assessment,Partner C,191.47,2023-10-23,2024-04-05
151,15,Tax Advisory,Partner E,196.92,2023-05-28,2024-01-26
152,40,Management Consulting,Partner B,222.57,2023-01-12,2023-08-28
153,41,Management Consulting,Partner A,207.11,2023-03-17,2023-10-03
154,30,Risk Assessment,Partner F,162.44,2024-04-24,2024-10-05
155,54,Tax Advisory,Partner H,213.51,2023-07-29,
156,7,Management Consulting,Partner G,201.39,2023-08-30,2023-12-27
157,15,Audit,Partner E,131.3,2023-08-22,2023-10-09
158,16,Risk Assessment,Partner A,152.82,2024-01-27,2024-05-15
159,9,Tax Advisory,Partner H,148.85,2023-02-02,2023-10-02
160,18,Tax Advisory,Partner D,189.61,2023-02-11,2023-06-13
161,19,Management Consulting,Partner C,236.25,2023-05-18,2023-07-04
162,46,Management Consulting,Partner H,285.38,2023-09-01,2024-02-24
163,19,Risk Assessment,Partner F,203.12,2023-12-02,2024-08-09
164,53,Management Consulting,Partner F,327.42,2023-09-03,2024-04-18
165,47,Management Consulting,Partner C,200.71,2023-08-09,2023-11-02
166,55,Audit,Partner H,171.2,2024-04-13,2024-08-19
167,7,Audit,Partner D,157.15,2023-03-22,2023-08-16
168,60,Tax Advisory,Partner E,153.02,2023-10-13,2023-12-31
169,37,Risk Assessment,Partner G,219.56,2023-09-29,
170,59,Risk Assessment,Partner F,226.99,2023-08-25,2023-11-09
171,22,IT Advisory,Partner B,185.43,2024-02-08,
172,58,IT Advisory,Partner C,251.88,2023-05-14,2023-11-29
173,36,Tax Advisory,Partner C,176.36,2024-04-21,2024-11-28
174,5,Audit,Partner H,156.21,2023-06-15,2024-01-16
175,25,Audit,Partner F,179.08,2023-09-30,
176,9,Tax Advisory,Partner C,168.92,2023-09-18,2023-11-02
177,57,Tax Advisory,Partner F,205.05,2024-02-29,2024-10-17
178,19,Audit,Partner F,139.1,2023-08-08,2023-09-12
179,14,Tax Advisory,Partner D,203.94,2023-05-23,2023-10-04
180,34,Audit,Partner D,156.04,2023-01-11,2023-06-22
181,26,IT Advisory,Partner H,181.64,2023-07-01,2023-10-14
182,6,Risk Assessment,Partner E,187.26,2024-02-18,2024-04-13
183,49,IT Advisory,Partner B,191.76,2023-01-05,2023-03-12
184,51,Management Consulting,Partner F,211.72,2024-03-24,2024-10-27
185,45,Management Consulting,Partner E,204.48,2023-09-29,2024-01-03
186,38,Tax Advisory,Partner E,167.72,2023-03-12,2023-06-14
187,25,Audit,Partner F,121.14,2023-06-01,2024-01-28
188,33,Management Consulting,Partner H,224.82,2023-10-05,2023-11-28
189,32,Management Consulting,Partner C,308.78,2023-06-07,2024-02-01
190,10,Audit,Partner D,162.49,2023-02-24,2023-10-23
191,5,Management Consulting,Partner B,310.79,2023-11-29,2024-05-10
192,16,Tax Advisory,Partner F,165.37,2023-12-03,2024-01-31
193,28,Audit,Partner D,173.4,2023-03-01,
194,10,IT Advisory,Partner C,219.38,2023-05-21,2023-08-17
195,7,Management Consulting,Partner F,218.9,2023-05-02,2023-10-07
196,52,IT Advisory,Partner D,174.37,2023-11-26,2024-01-21
197,23,IT Advisory,Partner D,229.31,2024-01-01,2024-05-09
198,36,Risk Assessment,Partner D,165.56,2023-12-30,2024-02-15
199,32,Risk Assessment,Partner C,195.66,2024-04-14,2024-09-10
200,45,IT Advisory,Partner B,259.18,2024-01-20,2024-02-14
201,45,Risk Assessment,Partner G,150.36,2023-06-10,2023-12-17
202,18,Management Consulting,Partner A,202.49,2023-02-23,2023-03-28
203,51,Risk Assessment,Partner C,239.38,2023-11-04,2024-01-09
204,23,IT Advisory,Partner F,218.46,2024-04-03,2024-06-03
205,51,IT Advisory,Partner B,172.69,2024-05-02,
206,25,Risk Assessment,Partner F,230.76,2023-04-26,2023-05-28
207,7,Management Consulting,Partner F,332.06,2023-04-29,2023-08-30
208,46,IT Advisory,Partner F,213.62,2023-01-19,2023-06-29
209,2,Tax Advisory,Partner C,189.74,2023-03-12,2023-08-02
210,47,Risk Assessment,Partner A,174.59,2023-10-05,2024-04-05
211,3,IT Advisory,Partner H,165.05,2023-10-01,2024-04-30
212,13,IT Advisory,Partner C,219.46,2023-07-05,2023-10-27
213,37,Management Consulting,Partner G,244.21,2023-06-04,2024-01-08
214,57,Risk Assessment,Partner B,209.73,2024-02-19,2024-05-25
215,25,Audit,Partner B,170.17,2023-08-19,2024-05-01
216,8,Audit,Partner G,121.09,2024-02-09,2024-06-29
217,14,Management Consulting,Partner H,289.36,2024-04-26,2024-11-08
218,54,IT Advisory,Partner G,183.13,2023-06-08,2024-01-24
219,44,Risk Assessment,Partner G,228.65,2023-04-12,2023-11-08
220,7,Management Consulting,Partner B,238.05,2024-04-21,2024-12-01
