time_entry_id,engagement_id,entry_date,hours,billable
1,78,2024-04-06,2.4,True
2,3,2024-03-05,5.1,False
3,90,2023-11-21,4.1,True
4,129,2023-03-23,3.9,True
5,26,2023-07-24,7.6,True
6,172,2024-10-18,6.3,True
7,146,2023-12-31,6.2,False
8,69,2024-03-21,6.6,True
9,131,2023-06-30,7.6,True
10,67,2024-05-09,1.1,True
11,143,2023-12-07,3.8,True
12,34,2023-06-03,1.1,True
13,135,2023-04-13,5.1,True
14,13,2023-10-04,4.9,True
15,4,2024-01-31,,True
16,56,2023-07-16,11.4,True
17,39,2023-06-21,5.7,True
18,108,2023-07-08,3.5,False
19,37,2023-07-25,97.5,True
20,54,2024-06-01,3.4,False
21,22,2023-12-16,4.9,True
22,196,2023-11-25,9.9,True
23,162,2023-04-24,3.4,True
24,48,2024-01-17,8.7,True
25,27,2024-11-04,8.0,True
26,188,2024-06-05,,True
27,148,2023-11-09,9.8,False
28,195,2023-08-03,8.1,True
29,40,2023-09-04,5.3,True
30,79,2023-01-19,2.9,True
31,27,2023-01-21,2.7,True
32,94,2024-06-27,3.4,True
33,36,2024-08-13,7.2,True
34,1,2024-11-08,2.5,True
35,112,2024-03-14,6.7,True
36,216,2024-10-12,2.1,True
37,143,2023-10-19,4.3,True
38,167,2023-06-27,5.3,True
39,179,2023-06-21,27.4,True
40,214,2023-06-15,,True
41,29,2024-06-05,78.9,True
42,56,2023-01-07,5.5,True
43,136,2024-10-23,6.6,True
44,181,2024-06-26,5.4,True
45,171,2023-09-24,,True
46,161,2024-05-06,68.7,True
47,69,2023-04-05,13.7,True
48,81,2023-10-29,3.6,True
49,18,2023-03-18,10.9,True
50,70,2023-03-20,3.2,True
51,35,2023-01-05,4.7,True
52,207,2024-07-11,2.3,True
53,21,2024-06-04,6.8,False
54,80,2024-09-17,13.6,True
55,196,2024-11-17,4.7,True
56,211,2024-11-06,4.3,False
57,83,2024-11-25,2.3,False
58,103,2023-01-12,4.2,True
59,116,2024-07-02,1.6,False
60,181,2024-05-21,2.6,True
61,170,2023-04-24,5.8,True
62,116,2023-04-06,12.5,True
63,82,2024-11-15,35.4,True
64,82,2024-09-09,3.3,True
65,143,2023-08-18,13.5,True
66,184,2023-02-22,5.9,True
67,17,2023-08-22,4.5,True
68,170,2023-01-04,6.7,True
69,106,2024-04-26,5.2,True
70,32,2023-09-24,5.4,False
71,22,2023-02-04,3.7,True
72,75,2024-11-16,1.9,True
73,55,2024-08-01,1.7,True
74,23,2024-09-25,7.8,True
75,65,2024-11-29,4.1,True
76,184,2023-01-10,3.3,True
77,158,2024-06-26,5.0,True
78,46,2024-07-05,8.6,True
79,149,2024-07-01,5.6,True
80,100,2023-07-05,3.1,True
81,165,2023-10-01,11.7,True
82,55,2024-10-12,15.0,True
83,14,2023-02-16,7.0,False
84,69,2024-03-24,9.8,True
85,219,2024-07-08,11.8,True
86,123,2024-07-12,10.9,False
87,12,2024-02-23,,True
88,215,2024-06-20,7.5,False
89,182,2024-09-28,7.1,True
90,120,2024-06-20,2.3,True
91,163,2023-03-23,86.1,True
92,41,2023-06-21,1.9,True
93,131,2023-08-02,2.8,False
94,201,2023-08-29,12.3,True
95,97,2023-09-10,8.9,False
96,9,2023-06-03,14.0,True
97,167,2024-04-23,4.1,False
98,161,2023-03-19,2.2,False
99,163,2024-07-05,4.2,True
100,143,2024-04-06,5.3,False
101,31,2024-11-03,5.2,True
102,26,2023-01-05,11.0,True
103,175,2023-07-26,3.8,True
104,189,2024-09-20,6.3,True
105,18,2023-12-12,2.5,True
106,128,2024-01-28,6.8,True
107,111,2023-01-21,5.0,True
108,78,2024-06-17,2.9,True
109,142,2023-06-27,4.2,True
110,202,2024-11-05,4.4,True
111,181,2023-09-19,4.1,True
112,34,2023-05-13,17.1,False
113,102,2024-02-20,4.6,False
114,206,2023-12-01,4.2,False
