job_id,permit_type,permit_subtype,work_type,job_type,filing_status,filing_date,borough,community_board,residential,bldg_type,zip_code
321601012,NB,,,NB,RENEWAL,2023-10-05,BROOKLYN,316,YES,2,11212
210178190,NB,,,NB,RENEWAL,2024-01-03,BRONX,205,YES,2,10453
322047352,NB,,,NB,RENEWAL,2023-10-20,BROOKLYN,317,YES,2,11212
321384890,FO,EA,,NB,RENEWAL,2023-10-20,BROOKLYN,309,YES,2,11203
322047352,NB,,,NB,RENEWAL,2023-10-26,BROOKLYN,317,YES,2,11212
121204277,NB,,,NB,RENEWAL,2024-06-18,MANHATTAN,110,YES,2,10027
421800956,NB,,,NB,RENEWAL,2024-04-22,QUEENS,411,YES,1,11362
340800048,FO,EA,,NB,INITIAL,2024-06-03,BROOKLYN,312,YES,1,11219
321941048,NB,,,NB,RENEWAL,2024-06-24,BROOKLYN,301,YES,2,11206
421058893,NB,,,NB,INITIAL,2025-01-03,QUEENS,413,,1,11004
340800048,NB,,,NB,RENEWAL,2024-11-13,BROOKLYN,312,YES,1,11219
121209575,NB,,,NB,RENEWAL,2025-03-19,MANHATTAN,110,YES,2,10027
421767993,NB,,,NB,INITIAL,2024-11-25,QUEENS,407,,2,11354
420665587,NB,,,NB,RENEWAL,2024-07-05,QUEENS,410,YES,1,11420
140985058,EW,OT,OT,A2,INITIAL,2023-10-13,MANHATTAN,109,,2,10027
440810598,EW,OT,OT,A2,INITIAL,2023-11-02,QUEENS,413,YES,1,11413
321953891,EW,SP,SP,A2,RENEWAL,2023-11-20,BROOKLYN,303,YES,2,11238
340752509,NB,,,NB,RENEWAL,2023-12-20,BROOKLYN,317,YES,2,11210
402071930,AL,,,A1,RENEWAL,2024-04-09,QUEENS,405,YES,1,11378
321110597,PL,,PL,A2,RENEWAL,2024-04-19,BROOKLYN,307,YES,2,11220
320564153,EW,OT,OT,A2,RENEWAL,2024-04-26,BROOKLYN,303,YES,1,11221
440230876,AL,,OT,A3,RENEWAL,2024-05-01,QUEENS,404,YES,2,11368
